ID;Regiao intermediaria;Regiao imediata;Municipio;Região Urbana;Bairro
116;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Marcos Roberto
117;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Moema
118;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Monte Alegre
119;Campo Grande;Campo Grande;Campo Grande;Centro;Jardim Monte Libano
120;Campo Grande;Campo Grande;Campo Grande;Prosa;Jardim Montevideu
121;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Monumento
122;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Morenao
123;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Nashville
124;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Nhanha
125;Campo Grande;Campo Grande;Campo Grande;Prosa;Jardim Noroeste
126;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Nossa Senhora Do Perpetuo Socorro
127;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Nova Capital
128;Campo Grande;Campo Grande;Campo Grande;Centro;Jardim Nova Era
129;Campo Grande;Campo Grande;Campo Grande;Segredo;Jardim Paradiso
130;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Parati
131;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Paulista
132;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Paulo Coelho Machado
133;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Penfigo
134;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Jardim Petropolis
135;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Piratininga
136;Campo Grande;Campo Grande;Campo Grande;Segredo;Jardim Presidente
137;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Radialista
138;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Samambaia
139;Campo Grande;Campo Grande;Campo Grande;Lagoa;Jardim Santa Emilia
140;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Santa Felicidade
141;Campo Grande;Campo Grande;Campo Grande;Centro;Jardim Sao Bento
142;Campo Grande;Campo Grande;Campo Grande;Lagoa;Jardim Sao Conrado
143;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Sao Lourenco
144;Campo Grande;Campo Grande;Campo Grande;Lagoa;Jardim Taruma
145;Campo Grande;Campo Grande;Campo Grande;Lagoa;Jardim Tijuca
146;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Tropical
147;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Tv Morena
148;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jardim Uirapuru
149;Campo Grande;Campo Grande;Campo Grande;Prosa;Jardim Veraneio
