CEP,lat,lon,source,status
79081677,-20.5053402,-54.6296395,cepaberto,Success
79100500,-20.4601298,-54.6481832,cepaberto,Success
79690000,-21.3020684,-52.8338261,cepaberto,Success
79770000,-22.1856373,-52.7195462,cepaberto,Success
79002185,-20.4697105,-54.6201211,cepaberto,Success
79103580,-20.4697105,-54.6201211,cepaberto,Success
79906732,-22.5653894,-55.6910943,cepaberto,Success
79530000,-18.3259956,-53.7047083,cepaberto,Success
79820080,-22.223561,-54.8125486,cepaberto,Success
79084050,-20.5171242,-54.6455339,cepaberto,Success
79750085,-22.2396243,-53.355696,azure,Success
79730045,-22.417428,-54.2321294,azure,Success
79960000,-23.6759953,-54.5601027,cepaberto,Success
79013590,-20.4206427,-54.5903056,cepaberto,Success
79041430,-20.4712432,-54.5740613,cepaberto,Success
79904676,-22.523123,-55.7242526,cepaberto,Success
79302020,-18.9974234,-57.6485018,cepaberto,Success
79040120,-20.4660087,-54.5834303,cepaberto,Success
79004290,-20.4736035,-54.6136081,cepaberto,Success
79004630,-20.4758385,-54.6027311,cepaberto,Success
79034171,-20.4284476,-54.5622603,cepaberto,Success
79080640,-20.4954952,-54.6214556,cepaberto,Success
79112200,-20.4397462,-54.6725792,cepaberto,Success
79070005,-20.4221199944,-54.646,cepaberto,Success
79480000,-18.9253941,-54.8438521,cepaberto,Success
79023162,-20.4354392,-54.5874184,cepaberto,Success
79090000,-20.4789428,-54.6441945,cepaberto,Success
79095010,-20.5240149,-54.6639216,cepaberto,Success
79590000,-20.3641975,-51.4197205,cepaberto,Success
79081540,-20.5059994,-54.6312731,cepaberto,Success
79833040,-22.223561,-54.8125486,cepaberto,Success
79002141,-20.4645928,-54.6119365,cepaberto,Success
79002190,-20.4697105,-54.6201211,cepaberto,Success
79005390,-20.4697105,-54.6201211,cepaberto,Success
79002251,-20.4697105,-54.6201211,cepaberto,Success
79005001,-20.4697105,-54.6201211,cepaberto,Success
79050030,-20.4811738,-54.6032169,cepaberto,Success
79092612,-20.513399,-54.6556121,cepaberto,Success
79002072,-20.4697105,-54.6201211,cepaberto,Success
79603140,-20.7881689,-51.7030483,cepaberto,Success
79603110,-20.7881689,-51.7030483,cepaberto,Success
79115810,-20.4325546,-54.6554321,cepaberto,Success
79002220,-20.4697105,-54.6201211,cepaberto,Success
79864000,-22.0,-55.333333,cepaberto,Success
79540000,-19.1097385,-51.736543,cepaberto,Success
79830100,-22.2218456,-54.7995792,cepaberto,Success
79002372,-20.4553307,-54.6134499,cepaberto,Success
79002820,-20.4697105,-54.6201211,cepaberto,Success
79303080,-19.0081688,-57.6515503,cepaberto,Success
79190000,-20.4383001,-54.8652419,cepaberto,Success
79601002,-20.7881689,-51.7030483,cepaberto,Success
79905302,-22.5556632,-55.7122457,cepaberto,Success
79833120,-22.223561,-54.8125486,cepaberto,Success
79003100,-20.4704534,-54.5997064,cepaberto,Success
79470000,-19.4474869,-54.9863706,cepaberto,Success
79002904,-20.4618624,-54.6181451,cepaberto,Success
79004605,-20.4774673,-54.6081245,cepaberto,Success
79003010,-20.4697105,-54.6201211,cepaberto,Success
79065050,-20.549954,-54.5770464,cepaberto,Success
79010120,-20.4308791,-54.6122371,cepaberto,Success
79005040,-20.4686734,-54.6262069,cepaberto,Success
79843090,-22.2361768,-54.7426609,cepaberto,Success
79063080,-20.5353952,-54.6327515,cepaberto,Success
79330040,-18.9993645,-57.6547147,cepaberto,Success
79810060,-22.1815249,-54.6731288,cepaberto,Success
79020250,-20.459147,-54.6026971,cepaberto,Success
79215000,-20.6852728,-55.2919567,cepaberto,Success
79990041,-23.1046534,-55.2323181,azure,Success
79600040,-20.7881689,-51.7030483,cepaberto,Success
79390000,-20.5374331,-56.713229,cepaberto,Success
79064320,-20.5706816,-54.5810768,cepaberto,Success
79802021,-22.2311626,-54.8094474,cepaberto,Success
